params,params_per_module,head_series,max_scrape_s,modules_up,memory_bytes,host_avail_gb
200000,8000,200694,0.06758107,25,379195392,110
400000,16000,400694,0.130325029,25,768233472,110
600000,24000,600694,0.198021564,25,1056927744,109
700000,28000,700694,0.220942361,25,1303527424,109
800000,32000,800694,0.295191845,25,1418616832,109
850000,34000,850694,0.305882761,25,1558274048,108
900000,36000,900694,0.347019982,25,1642020864,108
950000,38000,950694,0.332314197,25,1705648128,108
1000000,40000,1000694,0.40402162,25,1849724928,108
1050000,42000,1050694,0.384435224,25,1896099840,108
1100000,44000,1100694,0.395383627,25,1925795840,108
1150000,46000,1150694,0.444879026,25,1972310016,108
1200000,48000,1200694,0.49305885,25,2072567808,107
