elapsed_s,head_series,max_scrape_s,modules_up,memory_bytes
0,1000969,0.1777935,80,1728086016
30,1000992,0.168985371,80,1746579456
60,1000992,0.15423621,80,1983500288
90,1000992,0.184441501,80,1984286720
121,1000992,0.173823969,80,2093580288
151,1000992,0.186507148,80,2468024320
181,1000992,0.181377662,80,2476937216
211,1000992,0.171551655,80,2373242880
241,1000992,0.172666277,80,2373505024
271,1000992,0.169357888,80,2375081984
301,1000992,0.183872937,80,2479153152
331,1000992,0.182640953,80,2786865152
361,1000992,0.171274705,80,2786865152
391,1000992,0.176542256,80,2786865152
421,1000992,0.169164959,80,2795253760
451,1000992,0.178912919,80,2725871616
482,1000992,0.170643759,80,2746212352
512,1000992,0.172500956,80,2746212352
542,1000992,0.164575293,80,2754076672
572,1000992,0.174056275,80,2808229888
602,1000992,0.166399411,80,2808754176
632,1000992,0.178641234,80,2815475712
662,1000992,0.167526358,80,2822815744
692,1000992,0.177376485,80,2858782720
722,1000992,0.162796828,80,3070816256
752,1000992,0.162578328,80,3070816256
782,1000992,0.170277388,80,3109158912
812,1000992,0.163809806,80,3109158912
843,1000992,0.15244102,80,3109683200
873,1000992,0.162943006,80,3109683200
903,1000992,0.173448267,80,3117547520
933,1000992,0.176084584,80,3169992704
963,1000992,0.169658419,80,3311882240
993,1000992,0.14979031,80,3311882240
1023,1000992,0.178794119,80,3011112960
1053,1000992,0.15938419,80,3015307264
1083,1000992,0.168470737,80,3015307264
1113,1000992,0.169739732,80,3015307264
1143,1000992,0.171120157,80,3064852480
1174,1000992,0.182946885,80,3281907712
1204,1000992,0.166285282,80,3287150592
1234,1000992,0.17421833,80,3291344896
1264,1000992,0.17775378,80,3212296192
1294,1000992,0.182042005,80,3213869056
1324,1000992,0.193234519,80,3218849792
1354,1000992,0.180992895,80,3223568384
1384,1000992,0.171989875,80,3223830528
1414,1000992,0.177168775,80,3445157888
1444,1000992,0.176967219,80,3640483840
1474,1000992,0.170015757,80,3645464576
1504,1000992,0.167914459,80,3645464576
1535,1000992,0.178699436,80,3678171136
1565,1000992,0.185447568,80,3678171136
1595,1000992,0.185246134,80,3683676160
1625,1000992,0.191470476,80,3465674752
1655,1000992,0.159308786,80,3469344768
1685,1000992,0.185305972,80,3469344768
1715,1000992,0.174696205,80,3474587648
1745,1000992,0.160182094,80,3474587648
1775,1000992,0.181484318,80,3536670720
1805,1000992,0.165209651,80,3697098752
